City_ID,City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
195,taybad,IR,34.74,60.7756,48.97,60,100,7.49,overcast clouds
196,bandarbeyla,SO,9.4942,50.8122,77.94,71,64,13.13,broken clouds
197,osorno,CL,-40.5667,-73.15,66.25,59,100,5.93,overcast clouds
198,port macquarie,AU,-31.4333,152.9167,73.89,94,90,12.66,overcast clouds
199,tiksi,RU,71.6872,128.8694,-35.77,97,38,4.61,scattered clouds
200,biak,ID,-0.9131,122.8766,76.82,77,40,4.07,scattered clouds
201,severo-kurilsk,RU,50.6789,156.125,28.47,72,98,17.56,overcast clouds
202,dikson,RU,73.5069,80.5464,-4.18,93,100,9.95,overcast clouds
203,pasighat,IN,28.0667,95.3333,59.83,55,20,4.0,few clouds
204,kruisfontein,ZA,-34.0033,24.7314,66.88,70,57,13.06,broken clouds
205,faanui,PF,-16.4833,-151.75,80.11,73,2,1.86,clear sky
206,werda,BW,-25.2667,23.2833,81.59,43,99,18.81,light rain
207,chokurdakh,RU,70.6333,147.9167,-15.05,98,100,4.0,overcast clouds
208,cockburn town,TC,21.4612,-71.1419,78.75,74,3,14.65,clear sky
209,moerai,PF,-22.4333,-151.3333,78.49,77,100,5.84,overcast clouds
210,isla mujeres,MX,21.2311,-86.731,71.65,74,99,8.66,overcast clouds
211,kaniv,UA,49.7518,31.46,44.42,96,100,5.28,overcast clouds
212,cherskiy,RU,68.75,161.3,-10.48,100,96,3.94,overcast clouds
213,buala,SB,-8.145,159.5921,79.74,85,91,7.85,moderate rain
214,boma,GH,7.0805,-2.1697,92.41,35,93,4.85,overcast clouds
215,hastings,GB,50.8552,0.5729,41.9,77,6,14.97,clear sky
216,tual,ID,-5.6667,132.75,82.83,76,99,16.64,overcast clouds
217,padang,ID,-0.9492,100.3543,77.83,87,45,3.62,scattered clouds
218,chapais,CA,49.7834,-74.8492,1.18,93,100,8.68,light snow
219,sisimiut,GL,66.9395,-53.6735,27.36,82,100,22.37,overcast clouds
220,tautira,PF,-17.7333,-149.15,77.02,74,10,2.89,clear sky
221,aksarka,RU,66.5606,67.7975,-24.88,88,24,8.16,few clouds
222,gamba,GA,-2.65,10.0,80.02,80,100,8.59,light rain
223,bandung,ID,-6.9039,107.6186,75.11,45,97,1.12,overcast clouds
224,tongchuan,CN,35.0806,109.0897,31.89,81,27,1.77,scattered clouds
225,port hardy,CA,50.6996,-127.4199,33.76,80,100,10.42,overcast clouds
226,porto velho,BR,-8.7619,-63.9039,86.05,74,75,2.3,broken clouds
227,sterling,US,39.0062,-77.4286,39.33,82,75,1.01,broken clouds
228,ilulissat,GL,69.2167,-51.1,33.82,32,75,33.38,broken clouds
229,sale,MA,34.0389,-6.8166,61.48,59,40,6.91,scattered clouds
230,cayenne,GF,4.9333,-52.3333,84.24,81,90,3.44,overcast clouds
231,sechura,PE,-5.5569,-80.8222,77.7,58,14,7.7,few clouds
232,ponta delgada,PT,37.7333,-25.6667,65.5,72,75,9.22,broken clouds
233,ixtapa,MX,20.7,-105.2,69.03,78,1,4.61,clear sky
234,honiara,SB,-9.4333,159.95,78.73,84,98,6.26,overcast clouds
235,ilmenau,DE,50.6833,10.9,34.9,87,100,15.7,snow
236,nosy varika,MG,-20.5833,48.5333,79.3,88,100,11.48,moderate rain
237,imbituba,BR,-28.24,-48.6703,85.82,68,44,16.06,scattered clouds
238,stutterheim,ZA,-32.5708,27.424,58.98,85,100,7.58,overcast clouds
239,tooele,US,40.5308,-112.2983,41.92,65,90,14.97,overcast clouds
240,zhenjiang,CN,32.2092,119.4342,39.79,93,100,7.11,overcast clouds
241,east london,ZA,-33.0153,27.9116,72.3,68,100,12.66,overcast clouds
242,olive branch,US,34.9618,-89.8295,48.94,70,1,4.0,clear sky
243,bjornevatn,NO,69.6672,29.9847,15.42,92,75,2.3,light snow
244,waipawa,NZ,-41.4122,175.5153,61.45,95,100,8.08,overcast clouds
245,comodoro rivadavia,AR,-45.8667,-67.5,73.26,31,0,11.5,clear sky
246,igarka,RU,67.4667,86.5833,-6.34,95,100,15.57,overcast clouds
247,tuktoyaktuk,CA,69.4541,-133.0374,-1.32,88,100,17.43,overcast clouds
248,camacha,PT,33.0833,-16.3333,63.54,55,20,13.8,few clouds
249,muravlenko,RU,63.7898,74.523,-22.68,93,41,12.86,scattered clouds
250,cheyenne,US,41.14,-104.8203,29.91,84,97,15.99,overcast clouds
251,natal,BR,-5.795,-35.2094,87.17,57,82,12.77,broken clouds
252,bahar,IR,34.9072,48.4414,33.76,54,40,5.88,scattered clouds
253,tulun,RU,54.5611,100.5792,5.74,95,97,1.79,overcast clouds
254,tuatapere,NZ,-46.1333,167.6833,52.83,79,64,8.81,broken clouds
255,kodiak,US,57.79,-152.4072,35.11,69,90,19.57,moderate rain
256,kalabo,ZM,-14.97,22.6814,72.41,83,98,4.38,light rain
257,kaitangata,NZ,-46.2817,169.8464,53.92,71,82,8.95,broken clouds
258,zabaykalsk,RU,49.6333,117.3167,-7.76,100,30,3.13,scattered clouds
259,kavaratti,IN,10.5669,72.642,81.23,70,14,8.19,few clouds
260,klyuchi,RU,52.2667,79.1667,12.67,90,100,6.02,overcast clouds
261,kogon,UZ,39.7228,64.5517,41.04,100,90,2.3,light intensity drizzle
262,crowley,US,30.2141,-92.3746,65.05,83,39,7.74,scattered clouds
263,kendari,ID,-3.945,122.4989,75.52,90,100,2.04,overcast clouds
